Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1773298525697089,00000712,false,Rx,0,8,02,27,03,FF,FF,FF,FF,FF,
-1773298525596101,00000712,false,Rx,0,8,06,27,04,94,38,49,8E,FF,
