Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1773298487742809,00000714,false,Rx,0,8,02,3E,00,FF,FF,FF,FF,FF,
-1773298487503990,00000714,false,Rx,0,8,02,3E,00,FF,FF,FF,FF,FF,
-1773298487262969,00000714,false,Rx,0,8,02,10,03,FF,FF,FF,FF,FF,
-1773298487016872,00000714,false,Rx,0,8,02,10,03,FF,FF,FF,FF,FF,
