Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1773298533471438,00000712,false,Rx,0,8,04,14,FF,FF,FF,FF,FF,FF,
-1773298531740446,00000712,false,Rx,0,8,03,19,02,2C,FF,FF,FF,FF,
-1773298531733569,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298531657274,00000712,false,Rx,0,8,06,19,06,00,3E,01,FF,FF,
-1773298531648581,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298531582510,00000712,false,Rx,0,8,06,19,06,00,49,00,FF,FF,
-1773298531573587,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
