Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1773298513938098,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298513931142,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298513523178,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298513516234,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298513120192,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298513111237,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298512683284,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298512676337,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298512273278,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298512266333,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298511876265,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298511866332,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298511466279,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298511456420,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298511040361,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298511031432,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298510632447,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298510621532,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298510223471,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298510216524,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298509820427,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298509811520,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298509407536,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298509396619,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298508976478,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298508966614,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298508563590,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298508556707,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298508151621,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298508141712,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298507757622,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298507746711,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298507345509,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298507336803,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298506938700,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298506931803,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298506518777,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298506511902,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298506105600,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298506096900,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298505696861,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298505687001,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298505301868,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298505291996,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298504813867,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298504806996,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298504293953,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298504287089,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298503872946,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298503861081,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298503471916,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298503461049,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298503056931,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298503047062,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298502637851,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298502627095,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298502225805,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298502217098,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298501817953,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298501807091,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298501395881,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298501387037,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298500985489,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298500977030,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298500552870,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
-1773298500542045,00000712,false,Rx,0,8,30,00,00,FF,FF,FF,FF,FF,
-1773298500136895,00000712,false,Rx,0,8,03,22,18,1B,FF,FF,FF,FF,
